Register_no,Sub_code,Credit,Letter_Grade,Grade_Point,Result
71772116101,18NHS401,3,A,8,PASS
71772116101,18NBS402,4,O,10,PASS
71772116101,18NES403,4,O,10,PASS
71772116101,18NPC404,3,A+,9,PASS
71772116101,18NPC405,3,O,10,PASS
71772116101,18NPC406,3,A,8,PASS
71772116101,18NMC4Z7,0,A,8,PASS
71772116101,18NPC408,1.5,A+,9,PASS
71772116101,18NPC409,1.5,A+,9,PASS
71772116101,18NVA401,1,O,10,PASS
71772116102,18NHS401,3,A,8,PASS
71772116102,18NBS402,4,A,8,PASS
71772116102,18NES403,4,A,8,PASS
71772116102,18NPC404,3,A,8,PASS
71772116102,18NPC405,3,A,8,PASS
71772116102,18NPC406,3,A+,9,PASS
71772116102,18NMC4Z7,0,A,8,PASS
71772116102,18NPC408,1.5,A+,9,PASS
71772116102,18NPC409,1.5,A+,9,PASS
71772116102,18NVA401,1,A,8,PASS
71772116103,18NHS401,3,U,0,RA
71772116103,18NBS402,4,A,8,PASS
71772116103,18NES403,4,A,8,PASS
71772116103,18NPC404,3,A,8,PASS
71772116103,18NPC405,3,A,8,PASS
71772116103,18NPC406,3,B+,7,PASS
71772116103,18NMC4Z7,0,A,8,PASS
71772116103,18NPC408,1.5,A,8,PASS
71772116103,18NPC409,1.5,A+,9,PASS
71772116103,18NVA401,1,A,8,PASS
71772116104,18NHS401,3,B+,7,PASS
71772116104,18NBS402,4,B+,7,PASS
71772116104,18NES403,4,A,8,PASS
71772116104,18NPC404,3,B+,7,PASS
71772116104,18NPC405,3,A+,9,PASS
71772116104,18NPC406,3,A,8,PASS
71772116104,18NMC4Z7,0,A,8,PASS
71772116104,18NPC408,1.5,A+,9,PASS
71772116104,18NPC409,1.5,A,8,PASS
71772116104,18NVA401,1,A+,9,PASS
71772116105,18NHS401,3,B+,7,PASS
71772116105,18NBS402,4,B+,7,PASS
71772116105,18NES403,4,A,8,PASS
71772116105,18NPC404,3,A,8,PASS
71772116105,18NPC405,3,A,8,PASS
71772116105,18NPC406,3,A,8,PASS
71772116105,18NMC4Z7,0,A+,9,PASS
71772116105,18NPC408,1.5,A+,9,PASS
71772116105,18NPC409,1.5,O,10,PASS
71772116105,18NVA401,1,A+,9,PASS
71772116106,18NHS401,3,A,8,PASS
71772116106,18NBS402,4,B+,7,PASS
71772116106,18NES403,4,A,8,PASS
71772116106,18NPC404,3,A,8,PASS
71772116106,18NPC405,3,B,6,PASS
71772116106,18NPC406,3,A,8,PASS
71772116106,18NMC4Z7,0,A,8,PASS
71772116106,18NPC408,1.5,A+,9,PASS
71772116106,18NPC409,1.5,A+,9,PASS
71772116106,18NVA401,1,A,8,PASS
71772116107,18NHS401,3,A,8,PASS
71772116107,18NBS402,4,A,8,PASS
71772116107,18NES403,4,A,8,PASS
71772116107,18NPC404,3,A+,9,PASS
71772116107,18NPC405,3,A,8,PASS
71772116107,18NPC406,3,A,8,PASS
71772116107,18NMC4Z7,0,A,8,PASS
71772116107,18NPC408,1.5,A+,9,PASS
71772116107,18NPC409,1.5,A+,9,PASS
71772116107,18NVA401,1,B+,7,PASS
71772116108,18NBS202,4,U,0,RA
71772116108,18NHS401,3,A,8,PASS
71772116108,18NBS402,4,U,0,RA
71772116108,18NES403,4,A,8,PASS
71772116108,18NPC404,3,A,8,PASS
71772116108,18NPC405,3,U,0,RA
71772116108,18NPC406,3,U,0,RA
71772116108,18NMC4Z7,0,B+,7,PASS
71772116108,18NPC408,1.5,A,8,PASS
71772116108,18NPC409,1.5,U,0,RA
71772116108,18NVA401,1,B+,7,PASS
71772116113,18NHS401,3,B+,7,PASS
71772116113,18NBS402,4,B+,7,PASS
71772116113,18NES403,4,A,8,PASS
71772116113,18NPC404,3,A,8,PASS
71772116113,18NPC405,3,A,8,PASS
71772116113,18NPC406,3,A,8,PASS
71772116113,18NMC4Z7,0,B+,7,PASS
71772116113,18NPC408,1.5,A+,9,PASS
71772116113,18NPC409,1.5,A,8,PASS
71772116113,18NVA401,1,A,8,PASS
71772116114,18NHS401,3,A,8,PASS
71772116114,18NBS402,4,B,6,PASS
71772116114,18NES403,4,A,8,PASS
71772116114,18NPC404,3,A,8,PASS
71772116114,18NPC405,3,B,6,PASS
71772116114,18NPC406,3,A,8,PASS
71772116114,18NMC4Z7,0,B+,7,PASS
71772116114,18NPC408,1.5,A,8,PASS
71772116114,18NPC409,1.5,B+,7,PASS
71772116114,18NVA401,1,A,8,PASS
71772116115,18NBS201,4,U,0,RA
71772116115,18NBS202,4,U,0,RA
71772116115,18NES203,3,U,0,RA
71772116115,18NHS301,3,U,0,RA
71772116115,18NBS302,3,U,0,RA
71772116115,18NES303,3,U,0,RA
71772116115,18NPC304,3,C,5,PASS
71772116115,18NPC308,1.5,B+,7,PASS
71772116115,18NHS401,3,C,5,PASS
71772116115,18NBS402,4,U,0,RA
71772116115,18NES403,4,C,5,PASS
71772116115,18NPC404,3,U,0,RA
71772116115,18NPC405,3,U,0,RA
71772116115,18NPC406,3,U,0,RA
71772116115,18NMC4Z7,0,B,6,PASS
71772116115,18NPC408,1.5,B+,7,PASS
71772116115,18NPC409,1.5,B,6,PASS
71772116115,18NVA401,1,A,8,PASS
71772116116,18NHS401,3,A,8,PASS
71772116116,18NBS402,4,B,6,PASS
71772116116,18NES403,4,A,8,PASS
71772116116,18NPC404,3,A,8,PASS
71772116116,18NPC405,3,B,6,PASS
71772116116,18NPC406,3,B+,7,PASS
71772116116,18NMC4Z7,0,B+,7,PASS
71772116116,18NPC408,1.5,A,8,PASS
71772116116,18NPC409,1.5,A+,9,PASS
71772116116,18NVA401,1,A,8,PASS
71772116118,18NHS401,3,A,8,PASS
71772116118,18NBS402,4,B+,7,PASS
71772116118,18NES403,4,A,8,PASS
71772116118,18NPC404,3,A,8,PASS
71772116118,18NPC405,3,B+,7,PASS
71772116118,18NPC406,3,A,8,PASS
71772116118,18NMC4Z7,0,A,8,PASS
71772116118,18NPC408,1.5,A,8,PASS
71772116118,18NPC409,1.5,U,0,RA
71772116118,18NVA401,1,A,8,PASS
71772116119,18NHS401,3,B,6,PASS
71772116119,18NBS402,4,A,8,PASS
71772116119,18NES403,4,A,8,PASS
71772116119,18NPC404,3,A,8,PASS
71772116119,18NPC405,3,A,8,PASS
71772116119,18NPC406,3,A,8,PASS
71772116119,18NMC4Z7,0,B+,7,PASS
71772116119,18NPC408,1.5,A+,9,PASS
71772116119,18NPC409,1.5,A,8,PASS
71772116119,18NVA401,1,A,8,PASS
71772116120,18NHS401,3,B+,7,PASS
71772116120,18NBS402,4,A,8,PASS
71772116120,18NES403,4,A,8,PASS
71772116120,18NPC404,3,A,8,PASS
71772116120,18NPC405,3,A,8,PASS
71772116120,18NPC406,3,B+,7,PASS
71772116120,18NMC4Z7,0,B+,7,PASS
71772116120,18NPC408,1.5,A+,9,PASS
71772116120,18NPC409,1.5,A+,9,PASS
71772116120,18NVA401,1,A,8,PASS
71772116121,18NHS401,3,A+,9,PASS
71772116121,18NBS402,4,B+,7,PASS
71772116121,18NES403,4,A+,9,PASS
71772116121,18NPC404,3,A+,9,PASS
71772116121,18NPC405,3,B,6,PASS
71772116121,18NPC406,3,A,8,PASS
71772116121,18NMC4Z7,0,A+,9,PASS
71772116121,18NPC408,1.5,A,8,PASS
71772116121,18NPC409,1.5,B,6,PASS
71772116121,18NVA401,1,A,8,PASS
71772116122,18NES203,3,U,0,RA
71772116122,18NHS301,3,U,0,RA
71772116122,18NHS401,3,U,0,RA
71772116122,18NBS402,4,B+,7,PASS
71772116122,18NES403,4,B+,7,PASS
71772116122,18NPC404,3,B,6,PASS
71772116122,18NPC405,3,C,5,PASS
71772116122,18NPC406,3,U,0,RA
71772116122,18NMC4Z7,0,B,6,PASS
71772116122,18NPC408,1.5,B+,7,PASS
71772116122,18NPC409,1.5,B+,7,PASS
71772116122,18NVA401,1,A,8,PASS
71772116123,18NHS401,3,A,8,PASS
71772116123,18NBS402,4,A,8,PASS
71772116123,18NES403,4,O,10,PASS
71772116123,18NPC404,3,A+,9,PASS
71772116123,18NPC405,3,B+,7,PASS
71772116123,18NPC406,3,A,8,PASS
71772116123,18NMC4Z7,0,A,8,PASS
71772116123,18NPC408,1.5,A+,9,PASS
71772116123,18NPC409,1.5,A,8,PASS
71772116123,18NVA401,1,A,8,PASS
71772116126,18NHS401,3,A,8,PASS
71772116126,18NBS402,4,A,8,PASS
71772116126,18NES403,4,O,10,PASS
71772116126,18NPC404,3,A,8,PASS
71772116126,18NPC405,3,B+,7,PASS
71772116126,18NPC406,3,A,8,PASS
71772116126,18NMC4Z7,0,B+,7,PASS
71772116126,18NPC408,1.5,A+,9,PASS
71772116126,18NPC409,1.5,A+,9,PASS
71772116126,18NVA401,1,A+,9,PASS
71772116127,18NBS202,4,U,0,RA
71772116127,18NHS401,3,B+,7,PASS
71772116127,18NBS402,4,B,6,PASS
71772116127,18NES403,4,A,8,PASS
71772116127,18NPC404,3,B,6,PASS
71772116127,18NPC405,3,U,0,RA
71772116127,18NPC406,3,B+,7,PASS
71772116127,18NMC4Z7,0,B+,7,PASS
71772116127,18NPC408,1.5,A,8,PASS
71772116127,18NPC409,1.5,B,6,PASS
71772116127,18NVA401,1,B+,7,PASS
71772116128,18NHS401,3,A,8,PASS
71772116128,18NBS402,4,U,0,RA
71772116128,18NES403,4,B+,7,PASS
71772116128,18NPC404,3,A,8,PASS
71772116128,18NPC405,3,B+,7,PASS
71772116128,18NPC406,3,B+,7,PASS
71772116128,18NMC4Z7,0,B+,7,PASS
71772116128,18NPC408,1.5,A,8,PASS
71772116128,18NPC409,1.5,A+,9,PASS
71772116128,18NVA401,1,A,8,PASS
71772116129,18NHS401,3,A,8,PASS
71772116129,18NBS402,4,A,8,PASS
71772116129,18NES403,4,A+,9,PASS
71772116129,18NPC404,3,A,8,PASS
71772116129,18NPC405,3,A,8,PASS
71772116129,18NPC406,3,A,8,PASS
71772116129,18NMC4Z7,0,B+,7,PASS
71772116129,18NPC408,1.5,O,10,PASS
71772116129,18NPC409,1.5,A+,9,PASS
71772116129,18NVA401,1,A+,9,PASS
71772116130,18NBS202,4,AB,0,RA
71772116130,18NES203,3,U,0,RA
71772116130,18NHS401,3,B+,7,PASS
71772116130,18NBS402,4,U,0,RA
71772116130,18NES403,4,B+,7,PASS
71772116130,18NPC404,3,C,5,PASS
71772116130,18NPC405,3,U,0,RA
71772116130,18NPC406,3,C,5,PASS
71772116130,18NMC4Z7,0,A,8,PASS
71772116130,18NPC408,1.5,A,8,PASS
71772116130,18NPC409,1.5,A,8,PASS
71772116130,18NVA401,1,B+,7,PASS
71772116131,18NHS401,3,B+,7,PASS
71772116131,18NBS402,4,A,8,PASS
71772116131,18NES403,4,A,8,PASS
71772116131,18NPC404,3,B+,7,PASS
71772116131,18NPC405,3,A,8,PASS
71772116131,18NPC406,3,B+,7,PASS
71772116131,18NMC4Z7,0,A,8,PASS
71772116131,18NPC408,1.5,A,8,PASS
71772116131,18NPC409,1.5,A+,9,PASS
71772116131,18NVA401,1,A,8,PASS
71772116132,18NHS401,3,A,8,PASS
71772116132,18NBS402,4,A,8,PASS
71772116132,18NES403,4,A,8,PASS
71772116132,18NPC404,3,A+,9,PASS
71772116132,18NPC405,3,A,8,PASS
71772116132,18NPC406,3,A+,9,PASS
71772116132,18NMC4Z7,0,A,8,PASS
71772116132,18NPC408,1.5,A+,9,PASS
71772116132,18NPC409,1.5,A+,9,PASS
71772116132,18NVA401,1,O,10,PASS
71772116133,18NHS401,3,A,8,PASS
71772116133,18NBS402,4,A,8,PASS
71772116133,18NES403,4,A+,9,PASS
71772116133,18NPC404,3,A,8,PASS
71772116133,18NPC405,3,A,8,PASS
71772116133,18NPC406,3,A,8,PASS
71772116133,18NMC4Z7,0,B+,7,PASS
71772116133,18NPC408,1.5,A+,9,PASS
71772116133,18NPC409,1.5,A+,9,PASS
71772116133,18NVA401,1,A+,9,PASS
71772116134,18NBS202,4,AB,0,RA
71772116134,18NES203,3,U,0,RA
71772116134,18NHS401,3,B+,7,PASS
71772116134,18NBS402,4,U,0,RA
71772116134,18NES403,4,B+,7,PASS
71772116134,18NPC404,3,A,8,PASS
71772116134,18NPC405,3,U,0,RA
71772116134,18NPC406,3,U,0,RA
71772116134,18NMC4Z7,0,B,6,PASS
71772116134,18NPC408,1.5,A,8,PASS
71772116134,18NPC409,1.5,C,5,PASS
71772116134,18NVA401,1,A,8,PASS
71772116135,18NHS401,3,O,10,PASS
71772116135,18NBS402,4,A,8,PASS
71772116135,18NES403,4,A+,9,PASS
71772116135,18NPC404,3,O,10,PASS
71772116135,18NPC405,3,A+,9,PASS
71772116135,18NPC406,3,A+,9,PASS
71772116135,18NMC4Z7,0,A,8,PASS
71772116135,18NPC408,1.5,O,10,PASS
71772116135,18NPC409,1.5,A+,9,PASS
71772116135,18NVA401,1,A,8,PASS
71772116136,18NHS401,3,B+,7,PASS
71772116136,18NBS402,4,A,8,PASS
71772116136,18NES403,4,A+,9,PASS
71772116136,18NPC404,3,A,8,PASS
71772116136,18NPC405,3,B+,7,PASS
71772116136,18NPC406,3,B+,7,PASS
71772116136,18NMC4Z7,0,B,6,PASS
71772116136,18NPC408,1.5,A+,9,PASS
71772116136,18NPC409,1.5,A,8,PASS
71772116136,18NVA401,1,B+,7,PASS
71772116137,18NHS401,3,A,8,PASS
71772116137,18NBS402,4,A+,9,PASS
71772116137,18NES403,4,O,10,PASS
71772116137,18NPC404,3,A+,9,PASS
71772116137,18NPC405,3,A+,9,PASS
71772116137,18NPC406,3,A+,9,PASS
71772116137,18NMC4Z7,0,A,8,PASS
71772116137,18NPC408,1.5,A+,9,PASS
71772116137,18NPC409,1.5,A+,9,PASS
71772116137,18NVA401,1,A,8,PASS
71772116138,18NHS401,3,A,8,PASS
71772116138,18NBS402,4,B+,7,PASS
71772116138,18NES403,4,A,8,PASS
71772116138,18NPC404,3,B,6,PASS
71772116138,18NPC405,3,B+,7,PASS
71772116138,18NPC406,3,U,0,RA
71772116138,18NMC4Z7,0,B+,7,PASS
71772116138,18NPC408,1.5,A,8,PASS
71772116138,18NPC409,1.5,A+,9,PASS
71772116138,18NVA401,1,A,8,PASS
71772116139,18NHS401,3,B+,7,PASS
71772116139,18NBS402,4,A,8,PASS
71772116139,18NES403,4,O,10,PASS
71772116139,18NPC404,3,A,8,PASS
71772116139,18NPC405,3,A,8,PASS
71772116139,18NPC406,3,A,8,PASS
71772116139,18NMC4Z7,0,A+,9,PASS
71772116139,18NPC408,1.5,A+,9,PASS
71772116139,18NPC409,1.5,A+,9,PASS
71772116139,18NVA401,1,A,8,PASS
71772116140,18NES203,3,U,0,RA
